AGYSUB	LOC	AGELVL	EDLVL	GSEGRD	LOSLVL	OCC	PATCO	PPGRD	SALLVL	STEMOCC	SUPERVIS	TOA	WORKSCH	WORKSTAT	DATECODE	EMPLOYMENT	SALARY	LOS
AD00	11	G	13	15	H	130	1	GS-15	I	XXXX	2	10	F	1	199809	1	"$90,767 "	25.5
AD00	11	F	15	15	B	905	1	GS-15	H	XXXX	8	30	F	1	199809	1	"$82,985 "	1.3
AD00	11	K	4		D	130	1	ED-00	H	XXXX	8	48	I	2	199809	1	"$88,322 "	8.7
AD00	11	D	13	14	D	130	1	GS-14	F	XXXX	8	10	F	1	199809	1	"$66,138 "	9.6
AD00	11	K	4		B	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$81,226 "	1.8
AD00	11	E	13	15	E	1035	2	GS-15	H	XXXX	2	38	F	1	199809	1	"$85,579 "	11.3
AD00	11	D	21	12	C	1301	1	GS-12	D	1301	8	10	F	1	199809	1	"$47,066 "	3
AD00	11	F	4	15	E	334	2	GS-15	J	XXXX	2	10	F	1	199809	1	"$101,142 "	11.2
AD00	11	C	4	12	A	130	1	GS-12	D	XXXX	8	15	F	1	199809	1	"$47,066 "	0.7
AD00	11	K	13		D	1515	1	ED-00	H	1515	8	48	I	2	199809	1	"$88,322 "	6.9
AD00	11	I	21		G	301	2	EX-02	M	XXXX	2	46	F	2	199809	1	"$136,700 "	20.3
AD00	11	K	4		C	1301	1	ED-00	H	1301	8	48	I	2	199809	1	"$88,322 "	4
AD00	11	I	4		C	1301	1	ED-00	I	1301	8	48	I	2	199809	1	"$94,291 "	4.2
AD00	11	F	21	14	D	301	2	GS-14	G	XXXX	8	10	F	1	199809	1	"$72,752 "	7.7
AD00	11	J	21	15	H	130	1	GS-15	J	XXXX	8	20	F	2	199809	1	"$101,142 "	28.7
AD00	11	K	14	14	H	1301	1	GS-14	H	1301	8	10	F	1	199809	1	"$85,978 "	26.9
AD00	11	K	21		G	1301	1	ED-00	I	1301	8	48	I	2	199809	1	"$94,291 "	23.3
AD00	11	H	17	15	G	1301	1	GS-15	H	1301	8	10	F	1	199809	1	"$88,173 "	20
AD00	11	G	17	14	D	1301	1	GS-14	H	1301	8	10	F	1	199809	1	"$81,569 "	5.9
AD00	11	H	4	15	D	301	2	GS-15	I	XXXX	8	44	F	2	199809	1	"$90,767 "	5.6
AD00	11	H	17	14	D	130	1	GS-14	G	XXXX	8	10	F	1	199809	1	"$72,752 "	5.8
AD00	11	K	19		H	301	2	ED-00	H	XXXX	8	48	I	2	199809	1	"$83,501 "	29.9
AD00	11	G	17	14	E	130	1	GS-14	H	XXXX	8	10	F	1	199809	1	"$85,978 "	14.9
AD00	11	I	4		A	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$85,567 "	0.4
AD00	11	E	13	9	F	80	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$38,951 "	15.8
AD00	11	I	21		E	1301	1	EF-00	H	1301	8	48	I	2	199809	1	"$88,322 "	13
AD00	11	I	21		H	130	1	ES-06	L	XXXX	2	50	F	1	199809	1	"$125,900 "	28.8
AD00	11	E	4	15	D	301	2	GS-15	H	XXXX	8	44	F	2	199809	1	"$80,391 "	8.3
AD00	11	H	14	14	H	130	1	GS-14	H	XXXX	8	10	F	1	199809	1	"$81,569 "	29.2
AD00	11	F	17	14	G	130	1	GS-14	G	XXXX	8	10	F	1	199809	1	"$72,752 "	22.6
AD00	11	I	21		C	1301	1	EF-00	E	1301	8	48	I	2	199809	1	"$53,469 "	3.7
AD00	11	D	17	14	D	130	1	GS-14	F	XXXX	8	10	F	1	199809	1	"$68,343 "	9.9
AD00	11	K	4		C	301	2	ED-00	H	XXXX	8	48	I	2	199809	1	"$88,322 "	3.9
AD00	11	D	4	9	F	334	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$37,868 "	15.6
AD00	11	D	8	7	F	318	4	GS-07	C	XXXX	8	10	F	1	199809	1	"$31,836 "	16
AD00	11	D	4	12	D	132	2	GS-12	D	XXXX	8	10	F	1	199809	1	"$47,066 "	9.6
AD00	11	K	14	15	J	110	1	GS-15	J	XXXX	8	10	F	1	199809	1	"$101,142 "	36.2
AD00	11	K	1	8	J	318	4	GS-08	C	XXXX	8	10	F	1	199809	1	"$38,199 "	40.1
AD00	11	J	21	15	H	1301	1	GS-15	I	1301	8	10	F	1	199809	1	"$98,548 "	26.8
AD00	11	H	4	7	F	203	3	GS-07	C	XXXX	8	10	F	1	199809	1	"$32,719 "	17.9
AD00	11	G	9	8	G	303	3	GS-08	C	XXXX	8	10	F	1	199809	1	"$35,261 "	24.1
AD00	11	H	5	9	I	301	2	GS-09	D	XXXX	8	10	F	1	199809	1	"$42,198 "	30.8
AD00	11	H	4	9	G	318	4	GS-09	C	XXXX	8	10	F	1	199809	1	"$37,868 "	21.2
AD00	11	H	17	14	I	334	2	GS-14	H	XXXX	8	10	F	1	199809	1	"$85,978 "	31.4
AD00	11	G	12	6	C	2005	3	GS-06	B	XXXX	8	48	F	2	199809	1	"$25,468 "	3.7
AD00	11	F	4	9	H	303	3	GS-09	D	XXXX	8	10	F	1	199809	1	"$42,198 "	25.4
AD00	11	E	4	9	G	334	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$38,951 "	22.4
AD00	11	E	4	6	E	303	3	GS-06	B	XXXX	8	10	F	1	199809	1	"$26,264 "	12.9
AD00	11	E	10	7	E	318	4	GS-07	C	XXXX	8	10	F	1	199809	1	"$32,719 "	12.2
AD00	11	E	4	7	D	318	4	GS-07	B	XXXX	8	10	F	1	199809	1	"$29,184 "	5.2
AD00	11	D	4	12	E	201	2	GS-12	E	XXXX	8	10	F	1	199809	1	"$51,774 "	14.1
AD00	11	K	4		B	130	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$81,226 "	1.6
AD00	11	J	10	9	J	318	4	GS-09	D	XXXX	8	10	F	1	199809	1	"$42,198 "	41.4
AD00	11	I	4	14	J	342	2	GS-14	H	XXXX	5	10	F	1	199809	1	"$81,569 "	41.4
AD00	11	I	4	11	I	80	2	GS-11	C	XXXX	8	10	F	1	199809	1	"$39,270 "	31.3
AD00	11	F	17	14	D	130	1	GS-14	F	XXXX	8	10	F	1	199809	1	"$68,343 "	9.1
AD00	11	D	4	7	C	1106	3	GS-07	Z	XXXX	8	10	F	1	199809	1		3.8
AD00	11	C	4	8	D	318	4	GS-08	C	XXXX	8	10	F	1	199809	1	"$32,323 "	6.4
AD00	11	B	4	7	C	318	4	GS-07	B	XXXX	8	15	F	1	199809	1	"$26,532 "	3.3
AD00	11	D	7	9	E	1102	1	GS-09	C	XXXX	8	10	F	1	199809	1	"$37,868 "	13.1
AD00	11	C	4	6	D	303	3	GS-06	B	XXXX	8	20	F	2	199809	1	"$26,264 "	8.8
AD00	11	J	4		D	905	1	EF-00	H	XXXX	8	48	I	2	199809	1	"$88,322 "	9.2
AD00	11	H	11	13	H	510	1	GS-13	F	XXXX	8	10	F	1	199809	1	"$67,162 "	28.7
AD00	11	F	4	7	F	318	4	GS-07	C	XXXX	8	10	F	1	199809	1	"$32,719 "	19
AD00	11	F	5	7	H	326	3	GS-07	C	XXXX	8	10	F	1	199809	1	"$31,836 "	25.8
AD00	11	F	17	9	G	318	4	GS-09	C	XXXX	8	10	F	1	199809	1	"$37,868 "	20
AD00	11	C	4	7	D	334	2	GS-07	C	XXXX	8	10	F	1	199809	1	"$33,603 "	6.1
AD00	11	E	4	10	G	301	2	GS-10	D	XXXX	8	10	F	1	199809	1	"$44,085 "	21.8
AD00	11	E	4	9	F	303	3	GS-09	D	XXXX	8	10	F	1	199809	1	"$40,033 "	18.9
AD00	11	D	4	7	E	318	4	GS-07	C	XXXX	8	10	F	1	199809	1	"$31,836 "	13.8
AD00	11	D	4	9	F	318	4	GS-09	C	XXXX	8	10	F	1	199809	1	"$38,951 "	15.3
AD00	11	E	17	13	F	1301	1	GS-13	F	1301	8	10	F	1	199809	1	"$67,162 "	15.7
AF02	51	B	4	4	A	303	4	GS-04	A	XXXX	8	20	P	2	199809	1	"$19,146 "	0.3
AF02	51	I	4	9	G	301	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$36,786 "	22.2
AF02	51	G	4	6	G	303	3	GS-06	B	XXXX	8	10	F	1	199809	1	"$29,448 "	21.2
AF02	35	E	17	11	E	1082	2	GS-11	C	XXXX	8	15	F	1	199809	1	"$39,879 "	14.3
AF02	35	I	17	9	E	341	2	GS-09	C	XXXX	4	10	F	1	199809	1	"$36,152 "	12.2
AF02	35	F	6	5	F	318	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$26,668 "	16.1
AF02	35	F	7	5	F	318	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$25,264 "	17.8
AF02	35	H	6	7	G	318	4	GS-07	C	XXXX	8	10	F	1	199809	1	"$33,024 "	20.3
AF02	35	A	3	1	A	303	4	GS-01	A	XXXX	8	42	F	2	199809	1	"$13,662 "	0.3
AF02	35	G	7	6	G	318	4	GS-06	C	XXXX	8	10	F	1	199809	1	"$30,504 "	20.4
AF02	35	I	4	5	E	318	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$27,370 "	12.7
AF02	35	A	4	1	A	303	4	GS-01	A	XXXX	8	42	F	2	199809	1	"$13,662 "	0.3
AF02	35	F	17	12	E	301	2	GS-12	D	XXXX	8	10	F	1	199809	1	"$47,796 "	10.8
AF02	35	J	21	13	F	346	2	GS-13	F	XXXX	8	10	F	1	199809	1	"$62,337 "	16.4
AF02	35	B	13	4	A	335	4	GS-04	A	XXXX	8	42	P	2	199809	1	"$18,815 "	0.8
AF02	35	H	6	6	F	318	4	GS-06	B	XXXX	8	10	F	1	199809	1	"$28,158 "	19.9
AF02	35	I	4	6	H	318	4	GS-06	B	XXXX	8	10	F	1	199809	1	"$29,722 "	27.8
AF02	35	H	4	5	H	326	3	GS-05	B	XXXX	8	10	F	1	199809	1	"$27,370 "	29.5
AF02	35	H	11	9	G	341	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$38,279 "	20
AF02	35	J	8	6	H	318	4	GS-06	C	XXXX	8	10	F	1	199809	1	"$30,504 "	26.3
AF02	35	G	17	15	G	1101	2	GS-15	H	XXXX	2	10	F	1	199809	1	"$86,652 "	24.2
AF02	35	F	13	6	D	318	4	GS-06	B	XXXX	8	10	F	1	199809	1	"$27,375 "	9.3
AF02	35	I	4	5	G	318	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$25,264 "	22
AF02	35	F	17	9	C	301	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$35,088 "	4.6
AF02	51	B	4	4	B	326	4	GS-04	B	XXXX	8	42	F	2	199809	1	"$20,228 "	1.3
AF02	51	C	4	7	D	318	4	GS-07	C	XXXX	8	10	F	1	199809	1	"$30,068 "	8.8
AF02	35	F	8	9	G	301	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$34,024 "	24.1
AF03	35	I	4	12	F	301	2	GS-12	D	XXXX	4	10	F	1	199809	1	"$47,796 "	18.9
AF03	35	H	6	6	H	318	4	GS-06	C	XXXX	8	10	F	1	199809	1	"$30,504 "	26.8
AF03	35	H	21	13	H	170	1	GM-13	G	XXXX	2	10	F	1	199809	1	"$71,503 "	25.1
AF03	35	I	17	13	F	855	1	GS-13	F	855	8	10	F	1	199809	1	"$69,670 "	15.3
AF03	35	H	18	13	F	855	1	GS-13	F	855	8	10	F	1	199809	1	"$66,003 "	15.3
AF03	12	F	7	5	E	318	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$24,562 "	10.2
AF03	35	E	13	13	D	855	1	GS-13	F	855	8	10	F	1	199809	1	"$64,170 "	9.2
AF03	35	F	4	5	E	318	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$25,264 "	10
AF03	35	I	17	13	D	343	2	GS-13	F	XXXX	8	10	F	1	199809	1	"$69,670 "	9.6
AF03	35	G	13	14	E	1102	1	GM-14	G	XXXX	2	10	F	1	199809	1	"$73,663 "	10.2
AF03	35	K	7	5	F	318	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$26,668 "	19.6
AF03	12	J	17	6	F	318	4	GS-06	B	XXXX	8	10	F	1	199809	1	"$29,722 "	18.8
AF03	35	C	12	3	A	326	4	GS-03	A	XXXX	8	42	F	2	199809	1	"$19,554 "	0.6
AF03	US	I	13	13	G	132	2	GG-13	F	XXXX	8	38	F	1	199809	1	"$66,003 "	23.3
AF03	35	E	4	11	F	1515	1	GS-11	D	1515	8	15	F	1	199809	1	"$41,165 "	15.1
AF03	35	F	10	6	F	318	4	GS-06	B	XXXX	8	10	F	1	199809	1	"$28,940 "	18.3
AF03	8	G	17	13	C	855	1	GS-13	F	855	8	10	F	1	199809	1	"$60,504 "	4.7
AF03	35	I	17	13	E	1550	1	GS-13	E	1550	8	10	F	1	199809	1	"$56,837 "	11.1
AF03	35	H	9	5	E	318	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$23,860 "	14.8
AF03	12	E	13	7	E	303	3	GS-07	C	XXXX	8	15	F	1	199809	1	"$33,024 "	10.7
AF03	35	I	4	9	F	301	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$36,152 "	18
AF03	35	E	17	13	E	1515	1	GS-13	F	1515	8	10	F	1	199809	1	"$66,003 "	14.3
AF03	20	I	18	13	G	1515	1	GS-13	G	1515	8	10	F	1	199809	1	"$71,503 "	23.3
AF03	35	H	17	13	E	801	1	GS-13	H	801	8	10	F	1	199809	1	"$80,162 "	12.4
AF03	35	J	4	5	I	318	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$27,370 "	33.8
AF03	35	D	17	13	E	855	1	GS-13	F	855	8	10	F	1	199809	1	"$62,337 "	13.3
AF03	US	H	17	13	F	132	2	GG-13	F	XXXX	8	38	F	1	199809	1	"$66,003 "	19.1
AF03	8	H	4	5	F	335	3	GS-05	B	XXXX	8	10	F	1	199809	1	"$26,668 "	17.2
AF03	35	H	17	14	H	1515	1	GS-14	H	1515	8	10	F	1	199809	1	"$84,495 "	28.5
AF03	35	H	7	7	F	318	4	GS-07	C	XXXX	8	10	F	1	199809	1	"$30,418 "	19
AF03	35	H	13	14	I	334	2	GM-14	H	XXXX	2	10	F	1	199809	1	"$80,800 "	31.9
AF03	35	K	13	13	H	854	1	GS-13	G	854	8	10	F	1	199809	1	"$71,503 "	29.5
AF03	35	F	14	13	E	1550	1	GS-13	F	1550	8	10	F	1	199809	1	"$60,504 "	13.7
AF03	35	H	13	11	G	1102	1	GS-11	D	XXXX	8	10	F	1	199809	1	"$43,738 "	24.9
AF03	12	G	13	13	H	1515	1	GS-13	F	1515	8	10	F	1	199809	1	"$69,670 "	26.3
AF03	35	I	13	12	F	301	2	GS-12	E	XXXX	8	10	F	1	199809	1	"$55,508 "	16.3
AF03	35	F	6	7	F	1106	3	GS-07	C	XXXX	8	10	F	1	199809	1	"$32,155 "	19.8
AF03	35	I	21	14	H	180	1	GS-14	I	XXXX	2	10	F	1	199809	1	"$94,414 "	26.3
AF03	35	H	9	5	G	318	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$27,370 "	21.6
AF03	35	G	8	7	G	303	3	GS-07	C	XXXX	8	10	F	1	199809	1	"$31,287 "	22.3
AF03	US	G	17	13	G	132	2	GG-13	F	XXXX	8	38	F	1	199809	1	"$62,337 "	22.8
AF03	35	G	10	11	H	1020	3	GS-11	D	XXXX	4	10	F	1	199809	1	"$48,882 "	27.3
AF03	35	F	13	13	G	855	1	GS-13	G	855	8	10	F	1	199809	1	"$71,503 "	21.5
AF03	6	H	10	12	E	346	2	GS-12	E	XXXX	2	10	F	1	199809	1	"$54,855 "	13
AF03	35	H	21	13	B	1530	1	GS-13	E	1530	8	15	F	1	199809	1	"$58,670 "	2.7
AF03	35	G	13	12	F	1102	1	GS-12	E	XXXX	8	10	F	1	199809	1	"$55,508 "	17.7
AF03	35	I	17	13	G	855	1	GS-13	F	855	8	10	F	1	199809	1	"$66,003 "	22.7
AF03	35	H	14	13	D	855	1	GS-13	F	855	8	10	F	1	199809	1	"$66,003 "	8.8
AF03	35	J	7	12	G	80	2	GS-12	E	XXXX	8	10	F	1	199809	1	"$55,508 "	23.1
AF03	12	E	10	5	D	318	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$27,370 "	9.9
AF03	35	F	13	12	F	1102	1	GS-12	E	XXXX	8	10	F	1	199809	1	"$55,508 "	19.1
AF03	35	H	17	13	I	180	1	GS-13	F	XXXX	8	10	F	1	199809	1	"$66,003 "	30.3
AF03	35	G	17	11	D	170	1	GS-11	D	XXXX	8	10	F	1	199809	1	"$45,024 "	8
AF03	35	D	17	13	D	1515	1	GS-13	F	1515	8	10	F	1	199809	1	"$60,504 "	9.3
AF03	35	G	10	4	A	303	4	GS-04	B	XXXX	8	10	F	1	199809	1	"$24,461 "	0.2
AF03	35	D	19	12	C	343	2	GS-12	D	XXXX	8	10	F	1	199809	1	"$49,339 "	4.3
AF03	35	H	8	7	D	1001	3	GS-07	B	XXXX	8	10	F	1	199809	1	"$28,681 "	8.8
AF03	35	G	10	5	G	318	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$27,370 "	21.7
AF03	35	D	17	13	E	854	1	GS-13	F	854	8	10	F	1	199809	1	"$64,170 "	11.2
AF03	35	J	17	13	E	301	2	GS-13	F	XXXX	8	10	F	1	199809	1	"$64,170 "	10.2
AF03	35	I	17	9	E	1550	1	GS-09	C	1550	8	10	F	1	199809	1	"$36,152 "	12.3
AF03	35	I	17	13	E	1515	1	GS-13	F	1515	8	10	F	1	199809	1	"$62,337 "	12.8
AF03	35	H	13	12	I	1102	1	GS-12	F	XXXX	8	10	F	1	199809	1	"$60,852 "	30
AF03	35	D	13	9	D	80	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$36,152 "	8.5
AF03	35	F	17	14	F	905	1	GS-14	H	XXXX	8	30	F	1	199809	1	"$80,162 "	18.3
AF03	35	H	7	12	H	1102	1	GS-12	E	XXXX	8	10	F	1	199809	1	"$55,508 "	28.7
AF03	35	F	17	13	E	180	1	GS-13	E	XXXX	8	10	F	1	199809	1	"$58,670 "	10.1
AF03	35	F	13	13	E	1515	1	GS-13	F	1515	8	10	F	1	199809	1	"$62,337 "	13.9
AF03	8	D	4	5	A	318	4	GS-05	B	XXXX	8	15	F	1	199809	1	"$23,158 "	0.5
AF03	12	G	11	5	F	318	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$27,370 "	19.3
AF03	35	H	17	13	E	301	2	GS-13	F	XXXX	8	10	F	1	199809	1	"$60,504 "	10.4
AF03	35	H	17	15	H	801	1	GM-15	I	801	2	10	F	1	199809	1	"$98,775 "	27.5
AF03	8	K	13	6	F	318	4	GS-06	B	XXXX	8	10	F	1	199809	1	"$28,940 "	17.8
AF03	35	J	18	12	E	1712	2	GS-12	E	XXXX	4	10	F	1	199809	1	"$57,050 "	13.3
AF03	35	H	10	12	J	301	2	GS-12	F	XXXX	8	10	F	1	199809	1	"$60,135 "	35.7
AF03	35	H	7	9	G	334	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$35,088 "	22.3
AF03	35	G	14	13	H	1515	1	GS-13	F	1515	8	10	F	1	199809	1	"$62,337 "	26.8
AF03	35	H	14	14	I	1102	1	GM-14	G	XXXX	2	10	F	1	199809	1	"$77,337 "	30.6
AF03	35	J	13	14	E	80	2	GS-14	H	XXXX	2	10	F	1	199809	1	"$82,329 "	14.5
AF03	35	H	8	6	D	86	4	GS-06	B	XXXX	8	10	F	1	199809	1	"$28,158 "	9.2
AF03	35	I	13	13	I	855	1	GS-13	G	855	8	10	F	1	199809	1	"$71,503 "	31.8
AF03	35	G	7	9	G	1412	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$34,024 "	24
AF03	35	G	14	12	H	170	1	GS-12	E	XXXX	4	10	F	1	199809	1	"$55,508 "	29
AF03	35	D	17	13	E	855	1	GS-13	F	855	8	10	F	1	199809	1	"$60,504 "	11.5
AF03	35	I	8	7	I	303	3	GS-07	C	XXXX	8	10	F	1	199809	1	"$33,024 "	30.2
AF03	35	H	13	14	G	803	1	GM-14	H	803	2	10	F	1	199809	1	"$80,143 "	20.3
AF03	35	D	13	12	D	180	1	GS-12	D	XXXX	8	10	F	1	199809	1	"$46,254 "	8.2
AF03	35	H	9	12	E	80	2	GS-12	E	XXXX	8	10	F	1	199809	1	"$55,508 "	11.9
AF03	35	C	4	4	A	326	4	GS-04	A	XXXX	8	42	P	2	199809	1	"$18,815 "	0.3
AF03	35	I	9	9	F	301	2	GS-09	C	XXXX	8	10	F	1	199809	1	"$34,024 "	18
AF03	28	J	18	13	E	180	1	GM-13	G	XXXX	5	10	F	1	199809	1	"$71,503 "	12.7
AF03	35	I	17	14	I	801	1	GS-14	H	801	8	10	F	1	199809	1	"$84,495 "	31.8
AF03	35	G	17	14	G	1515	1	GS-14	H	1515	8	10	F	1	199809	1	"$82,329 "	24.8
AF03	35	J	17		J	1515	1	ES-04	L	1515	2	50	F	1	199809	1	"$120,706 "	39.6
AF03	6	I	10	8	E	335	3	GS-08	C	XXXX	8	10	F	1	199809	1	"$34,246 "	13.1
AF03	35	G	17	12	G	343	2	GS-12	E	XXXX	8	10	F	1	199809	1	"$58,592 "	23.5
AF03	35	G	13	13	H	80	2	GS-13	F	XXXX	2	10	F	1	199809	1	"$66,003 "	26.1
AF03	35	G	7	14	H	340	2	GS-14	H	XXXX	8	10	F	1	199809	1	"$80,162 "	25.6
AF03	35	H	17	14	H	1515	1	GS-14	H	1515	8	10	F	1	199809	1	"$82,329 "	27.1
AF03	35	G	14	13	G	855	1	GS-13	G	855	8	10	F	1	199809	1	"$71,503 "	24.3
AF03	35	F	21	13	D	180	1	GS-13	F	XXXX	8	10	F	1	199809	1	"$67,837 "	9
AF03	35	J	14	12	F	391	2	GS-12	E	XXXX	8	10	F	1	199809	1	"$55,508 "	19.4
AF03	35	G	8	12	D	301	2	GS-12	E	XXXX	8	10	F	1	199809	1	"$52,423 "	9.8
AF03	35	K	4	5	G	318	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$27,370 "	22.5
AF03	35	H	14	14	G	1515	1	GM-14	H	1515	5	10	F	1	199809	1	"$81,783 "	24.7
AF03	35	H	17	14	H	1515	1	GS-14	H	1515	8	10	F	1	199809	1	"$82,329 "	28.5
AF03	35	J	7	5	G	318	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$27,370 "	21.1
AF03	35	G	18	12	F	1520	1	GS-12	E	1520	8	10	F	1	199809	1	"$57,050 "	16.3
AF03	35	K	13	13	H	80	2	GS-13	G	XXXX	2	10	F	1	199809	1	"$79,165 "	28.3
AF03	35	G	7	6	F	1105	3	GS-06	B	XXXX	8	10	F	1	199809	1	"$28,158 "	16.9
AF03	6	G	4	6	H	318	4	GS-06	C	XXXX	8	10	F	1	199809	1	"$30,282 "	28.1
AF03	35	H	13	13	G	301	2	GS-13	F	XXXX	8	10	F	1	199809	1	"$60,504 "	24.3
AF03	35	E	8	6	F	1087	3	GS-06	B	XXXX	8	10	F	1	199809	1	"$28,158 "	16.7
AF03	32	E	13	13	E	855	1	GS-13	G	855	8	10	F	1	199809	1	"$71,503 "	13.7
AF03	35	H	17	13	H	510	1	GS-13	G	XXXX	8	10	F	1	199809	1	"$71,503 "	29.8
AF03	35	H	17	12	E	1340	1	GS-12	F	1340	8	10	F	1	199809	1	"$60,135 "	10.1
AF03	35	F	18	13	F	1515	1	GS-13	G	1515	8	10	F	1	199809	1	"$71,503 "	17.4
AF03	35	E	7	5	F	318	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$27,370 "	17.8
AF03	35	E	21	13	E	180	1	GS-13	F	XXXX	8	10	F	1	199809	1	"$69,670 "	10.9
AF03	35	E	4	7	F	1087	3	GS-07	C	XXXX	4	10	F	1	199809	1	"$30,418 "	18.6
AF03	35	D	14	13	E	801	1	GS-13	F	801	8	10	F	1	199809	1	"$64,170 "	12.7
AF03	35	B	4	3	A	326	4	GS-03	A	XXXX	8	42	P	2	199809	1	"$16,761 "	0.3
AF03	35	B	8	2	A	303	4	GS-02	A	XXXX	8	42	P	2	199809	1	"$17,842 "	0.6
AF03	35	D	6	7	E	303	3	GS-07	C	XXXX	8	10	F	1	199809	1	"$30,418 "	13.3
AF03	35	C	5	4	D	326	4	GS-04	A	XXXX	8	42	F	2	199809	1	"$18,815 "	5.5
AF03	35	J	8	5	F	86	4	GS-05	B	XXXX	8	10	F	1	199809	1	"$27,370 "	19.6
AF03	35	J	13	12	I	301	2	GS-12	E	XXXX	4	10	F	1	199809	1	"$55,508 "	33.9
AF03	35	J	7	13	G	334	2	GS-13	F	XXXX	2	10	F	1	199809	1	"$66,003 "	22.4
AF03	35	I	13	13	I	301	2	GS-13	G	XXXX	4	10	F	1	199809	1	"$71,503 "	30.3
AF03	35	I	8	7	G	1087	3	GS-07	C	XXXX	8	10	F	1	199809	1	"$31,287 "	24.3
AF03	35	I	13	15	I	1102	1	GM-15	I	XXXX	2	10	F	1	199809	1	"$94,669 "	30.1
AF03	35	I	13	12	F	810	1	GS-12	F	810	8	10	F	1	199809	1	"$60,135 "	19.7
AF03	35	I	17	15	I	801	1	GM-15	I	801	2	10	F	1	199809	1	"$99,397 "	30.5
AF03	35	I	17	12	H	301	2	GS-12	E	XXXX	4	10	F	1	199809	1	"$57,050 "	26.5
AF03	35	I	8	12	F	334	2	GS-12	E	XXXX	8	10	F	1	199809	1	"$50,881 "	16.4
AF03	35	I	17	13	I	854	1	GS-13	G	854	4	10	F	1	199809	1	"$71,503 "	33.3
AF03	35	I	12	12	G	1102	1	GS-12	E	XXXX	8	10	F	1	199809	1	"$55,508 "	22.1
AF03	35	F	14	13	F	855	1	GS-13	F	855	8	10	F	1	199809	1	"$67,837 "	15.3
AF03	35	G	17	15	G	301	2	GS-15	H	XXXX	2	10	F	1	199809	1	"$89,201 "	22.3
AF03	35	E	6	6	E	318	4	GS-06	B	XXXX	8	10	F	1	199809	1	"$28,158 "	12.9
AF03	6	E	17	14	E	801	1	GM-14	G	801	2	10	F	1	199809	1	"$79,347 "	12.3
AF03	35	H	17	14	H	1515	1	GM-14	H	1515	4	10	F	1	199809	1	"$81,325 "	26.8
AF03	35	G	6	6	F	318	4	GS-06	B	XXXX	8	10	F	1	199809	1	"$28,940 "	17.4
AF03	8	I	7	7	G	335	3	GS-07	C	XXXX	8	10	F	1	199809	1	"$30,418 "	23.7
AF03	35	H	17	13	I	1515	1	GS-13	G	1515	8	10	F	1	199809	1	"$71,503 "	31.8
